"InvoiceId","UnitPrice","Quantity","Name","Composer","Milliseconds"
"10","0.99","1","Businessfocused","Gerhold-Bartoletti","152555"
"10","0.99","1","Decentralized","Gibson-Boyer","227317"
"10","0.99","1","Distributed","Gleason LLC","240091"
"10","0.99","1","Openbeat","Glover-Schamberger","132231"
"10","0.99","1","secondary","Goldner Inc","175333"
"11","0.99","1","Lorene Birchall","Gyps bengalensis","243644"
"11","0.99","1","asynchronous","Goyette-Friesen","88868"
"11","0.99","1","Aerified","Antechinus flavipes","249808"
"11","0.99","1","Lorilyn Ellingsworth","Antechinus flavipes","236382"
"11","0.99","1","scalable","Gulgowski and Sons","173008"
"11","0.99","1","Danila Blackstock","Larus dominicanus","206942"
"11","0.99","1","Horizontal","Hammes Group","240300"
"11","0.99","1","Riane Vedntyev","Lophoaetus occipitalis","211147"
"11","0.99","1","multitasking","Hansen and Sons","264202"
"12","0.99","1","motivating","Hartmann Inc","230791"
"12","0.99","1","matrices","Hayes-Olson","166687"
"12","0.99","1","Grassjazzroots","Herman-Wisozk","373394"
"12","0.99","1","Phased","Hessel Group","183902"
"12","0.99","1","multiregion","Hintz-Paucek","284969"
"12","0.99","1","Ameliorated","Hoppe-Von","281626"
"12","0.99","1","Ergonomic","Hyatt and Sons","179408"
"12","0.99","1","complexity","Jacobson Inc","213655"
"12","0.99","1","Skippie Moen","Castor fiber","271960"
"12","0.99","1","global","Johnson Group","155428"
"12","0.99","1","Profound","Kassulke-Marquardt","545750"
"12","0.99","1","Organic","Kiehn Group","249234"
"12","0.99","1","incremental","Kilback-Glover","242599"
"12","0.99","1","Opela","Francolinus coqui","214987"
"13","0.99","1","analyzer","Koss and Sons","295627"
"14","0.99","1","orchestration","Koss-Gutmann","266866"
"14","0.99","1","hardware","Kovacek-Bergnaum","273580"
"15","0.99","1","Harwilll Wingfield","Eolophus roseicapillus","296124"
"15","0.99","1","Functiontune","Kreiger-Heathcote","316865"
"16","0.99","1","clientdriven","Kshlerin and Sons","288757"
"16","0.99","1","standardization","Kshlerin-Donnelly","167262"
"16","0.99","1","Quo Lux","Bos frontalis","234083"
"16","0.99","1","datawarehouse","Kuhic Group","181629"
"17","0.99","1","customer loyalty","Kuhlman-Gleason","135888"
"17","0.99","1","Stim","Plegadis ridgwayi","135523"
"17","0.99","1","Stephana Endean","Plegadis ridgwayi","170187"
"17","0.99","1","Focused","Kuphal and Sons","213420"
"17","0.99","1","Job","Hyaena hyaena","347036"
"17","0.99","1","gridlockenabled","Kuvalis Group","391549"
"18","0.99","1","national","Lang LLC","219768"
"18","0.99","1","conglomeration","Larkin-Feest","155637"
"18","0.99","1","Tin","Anathana ellioti","207072"
"18","0.99","1","objecthouseoriented","Legros Group","374700"
"18","0.99","1","Latlux","Nannopterum harrisi","354011"
"18","0.99","1","strategy","Bednar Thompson and Rolfson","177188"
"18","0.99","1","artificial intelligence","Little-Walker","170422"
"18","0.99","1","Upsized","Lubowitz-O'Kon","277133"
"18","0.99","1","extranet","Lynch Group","253962"
"19","0.99","1","pricing structure","MacGyver-Doyle","261720"
"19","0.99","1","Openarchitected","Mann Inc","334942"
"19","0.99","1","Konklux","Helogale undulata","329064"
